doy	Irri
1	342144
2	342144
3	342144
4	342144
5	342144
6	342144
7	342144
8	342144
9	342144
10	342144
11	342144
12	342144
13	342144
14	342144
15	342144
16	342144
17	342144
18	342144
19	342144
20	342144
21	342144
22	342144
23	342144
24	342144
25	342144
26	342144
27	342144
28	342144
29	342144
30	342144
31	342144
32	559260
33	559260
34	559260
35	559260
36	559260
37	559260
38	559260
39	559260
40	559260
41	559260
42	559260
43	559260
44	559260
45	559260
46	559260
47	559260
48	559260
49	559260
50	559260
51	559260
52	559260
53	559260
54	559260
55	559260
56	559260
57	559260
58	559260
59	559260
60	355976
61	355976
62	355976
63	355976
64	355976
65	355976
66	355976
67	355976
68	355976
69	355976
70	355976
71	355976
72	355976
73	355976
74	355976
75	355976
76	355976
77	355976
78	355976
79	355976
80	355976
81	355976
82	355976
83	355976
84	355976
85	355976
86	355976
87	355976
88	355976
89	355976
90	355976
91	567000
92	567000
93	567000
94	567000
95	567000
96	567000
97	567000
98	567000
99	567000
100	567000
101	567000
102	567000
103	567000
104	567000
105	567000
106	567000
107	567000
108	567000
109	567000
110	567000
111	567000
112	567000
113	567000
114	567000
115	567000
116	567000
117	567000
118	567000
119	567000
120	567000
121	576130
122	576130
123	576130
124	576130
125	576130
126	576130
127	576130
128	576130
129	576130
130	576130
131	576130
132	576130
133	576130
134	576130
135	576130
136	576130
137	576130
138	576130
139	576130
140	576130
141	576130
142	576130
143	576130
144	576130
145	576130
146	576130
147	576130
148	576130
149	576130
150	576130
151	576130
152	512563
153	512563
154	512563
155	512563
156	512563
157	512563
158	512563
159	512563
160	512563
161	512563
162	512563
163	512563
164	512563
165	512563
166	512563
167	512563
168	512563
169	512563
170	512563
171	512563
172	512563
173	512563
174	512563
175	512563
176	512563
177	512563
178	512563
179	512563
180	512563
181	512563
182	564242
183	564242
184	564242
185	564242
186	564242
187	564242
188	564242
189	564242
190	564242
191	564242
192	564242
193	564242
194	564242
195	564242
196	564242
197	564242
198	564242
199	564242
200	564242
201	564242
202	564242
203	564242
204	564242
205	564242
206	564242
207	564242
208	564242
209	564242
210	564242
211	564242
212	564242
213	651456
214	651456
215	651456
216	651456
217	651456
218	651456
219	651456
220	651456
221	651456
222	651456
223	651456
224	651456
225	651456
226	651456
227	651456
228	651456
229	651456
230	651456
231	651456
232	651456
233	651456
234	651456
235	651456
236	651456
237	651456
238	651456
239	651456
240	651456
241	651456
242	651456
243	651456
244	709271
245	709271
246	709271
247	709271
248	709271
249	709271
250	709271
251	709271
252	709271
253	709271
254	709271
255	709271
256	709271
257	709271
258	709271
259	709271
260	709271
261	709271
262	709271
263	709271
264	709271
265	709271
266	709271
267	709271
268	709271
269	709271
270	709271
271	709271
272	709271
273	709271
274	361431
275	361431
276	361431
277	361431
278	361431
279	361431
280	361431
281	361431
282	361431
283	361431
284	361431
285	361431
286	361431
287	361431
288	361431
289	361431
290	361431
291	361431
292	361431
293	361431
294	361431
295	361431
296	361431
297	361431
298	361431
299	361431
300	361431
301	361431
302	361431
303	361431
304	361431
305	286057
306	286057
307	286057
308	286057
309	286057
310	286057
311	286057
312	286057
313	286057
314	286057
315	286057
316	286057
317	286057
318	286057
319	286057
320	286057
321	286057
322	286057
323	286057
324	286057
325	286057
326	286057
327	286057
328	286057
329	286057
330	286057
331	286057
332	286057
333	286057
334	286057
335	322920
336	322920
337	322920
338	322920
339	322920
340	322920
341	322920
342	322920
343	322920
344	322920
345	322920
346	322920
347	322920
348	322920
349	322920
350	322920
351	322920
352	322920
353	322920
354	322920
355	322920
356	322920
357	322920
358	322920
359	322920
360	322920
361	322920
362	322920
363	322920
364	322920
365	322920
