doy	Irri
1	1114997
2	1114997
3	1114997
4	1114997
5	1114997
6	1114997
7	1114997
8	1114997
9	1114997
10	1114997
11	1114997
12	1114997
13	1114997
14	1114997
15	1114997
16	1114997
17	1114997
18	1114997
19	1114997
20	1114997
21	1114997
22	1114997
23	1114997
24	1114997
25	1114997
26	1114997
27	1114997
28	1114997
29	1114997
30	1114997
31	1114997
32	961457
33	961457
34	961457
35	961457
36	961457
37	961457
38	961457
39	961457
40	961457
41	961457
42	961457
43	961457
44	961457
45	961457
46	961457
47	961457
48	961457
49	961457
50	961457
51	961457
52	961457
53	961457
54	961457
55	961457
56	961457
57	961457
58	961457
59	961457
60	1258302
61	1258302
62	1258302
63	1258302
64	1258302
65	1258302
66	1258302
67	1258302
68	1258302
69	1258302
70	1258302
71	1258302
72	1258302
73	1258302
74	1258302
75	1258302
76	1258302
77	1258302
78	1258302
79	1258302
80	1258302
81	1258302
82	1258302
83	1258302
84	1258302
85	1258302
86	1258302
87	1258302
88	1258302
89	1258302
90	1258302
91	2056624
92	2056624
93	2056624
94	2056624
95	2056624
96	2056624
97	2056624
98	2056624
99	2056624
100	2056624
101	2056624
102	2056624
103	2056624
104	2056624
105	2056624
106	2056624
107	2056624
108	2056624
109	2056624
110	2056624
111	2056624
112	2056624
113	2056624
114	2056624
115	2056624
116	2056624
117	2056624
118	2056624
119	2056624
120	2056624
121	2035881
122	2035881
123	2035881
124	2035881
125	2035881
126	2035881
127	2035881
128	2035881
129	2035881
130	2035881
131	2035881
132	2035881
133	2035881
134	2035881
135	2035881
136	2035881
137	2035881
138	2035881
139	2035881
140	2035881
141	2035881
142	2035881
143	2035881
144	2035881
145	2035881
146	2035881
147	2035881
148	2035881
149	2035881
150	2035881
151	2035881
152	1724569
153	1724569
154	1724569
155	1724569
156	1724569
157	1724569
158	1724569
159	1724569
160	1724569
161	1724569
162	1724569
163	1724569
164	1724569
165	1724569
166	1724569
167	1724569
168	1724569
169	1724569
170	1724569
171	1724569
172	1724569
173	1724569
174	1724569
175	1724569
176	1724569
177	1724569
178	1724569
179	1724569
180	1724569
181	1724569
182	2001414
183	2001414
184	2001414
185	2001414
186	2001414
187	2001414
188	2001414
189	2001414
190	2001414
191	2001414
192	2001414
193	2001414
194	2001414
195	2001414
196	2001414
197	2001414
198	2001414
199	2001414
200	2001414
201	2001414
202	2001414
203	2001414
204	2001414
205	2001414
206	2001414
207	2001414
208	2001414
209	2001414
210	2001414
211	2001414
212	2001414
213	1900849
214	1900849
215	1900849
216	1900849
217	1900849
218	1900849
219	1900849
220	1900849
221	1900849
222	1900849
223	1900849
224	1900849
225	1900849
226	1900849
227	1900849
228	1900849
229	1900849
230	1900849
231	1900849
232	1900849
233	1900849
234	1900849
235	1900849
236	1900849
237	1900849
238	1900849
239	1900849
240	1900849
241	1900849
242	1900849
243	1900849
244	1539738
245	1539738
246	1539738
247	1539738
248	1539738
249	1539738
250	1539738
251	1539738
252	1539738
253	1539738
254	1539738
255	1539738
256	1539738
257	1539738
258	1539738
259	1539738
260	1539738
261	1539738
262	1539738
263	1539738
264	1539738
265	1539738
266	1539738
267	1539738
268	1539738
269	1539738
270	1539738
271	1539738
272	1539738
273	1539738
274	1059646
275	1059646
276	1059646
277	1059646
278	1059646
279	1059646
280	1059646
281	1059646
282	1059646
283	1059646
284	1059646
285	1059646
286	1059646
287	1059646
288	1059646
289	1059646
290	1059646
291	1059646
292	1059646
293	1059646
294	1059646
295	1059646
296	1059646
297	1059646
298	1059646
299	1059646
300	1059646
301	1059646
302	1059646
303	1059646
304	1059646
305	740547
306	740547
307	740547
308	740547
309	740547
310	740547
311	740547
312	740547
313	740547
314	740547
315	740547
316	740547
317	740547
318	740547
319	740547
320	740547
321	740547
322	740547
323	740547
324	740547
325	740547
326	740547
327	740547
328	740547
329	740547
330	740547
331	740547
332	740547
333	740547
334	740547
335	800094
336	800094
337	800094
338	800094
339	800094
340	800094
341	800094
342	800094
343	800094
344	800094
345	800094
346	800094
347	800094
348	800094
349	800094
350	800094
351	800094
352	800094
353	800094
354	800094
355	800094
356	800094
357	800094
358	800094
359	800094
360	800094
361	800094
362	800094
363	800094
364	800094
365	800094
